"state","avg_price"
"az",14031.8469505178
"ca",11151.6642368014
"co",16030.4577464789
"fl",12656.4436317195
"ga",11849.7092391304
"hi",9546.07843137255
"il",11812.3632887189
"in",11523.6363636364
"la",11010.8695652174
"ma",6609.55967555041
"md",7840.75770191507
"mi",14966.9591836735
"mn",13141.0632911392
"mo",13532.4282560706
"ms",12797.9057591623
"nc",10793.9840273816
"ne",12836.352
"nj",10945.8220681687
"nv",14967.5769669327
"ny",8853.775
"oh",14211.6867271228
"or",12257.9365079365
"pa",15143.3437294813
"sc",10351.4868421053
"tn",15127.6691331924
"tx",12269.3591269841
"ut",10902.027027027
"va",8347.46365914787
"wa",14476.7441860465
"wi",13469.482509047
