"year","odometer","sellingprice","condition","body","model","state","cluster"
2013,34915,9200,1,"Sedan","Corolla","ca","2"
2013,49188,18000,35,"Minivan","Sienna","ca","2"
2013,28412,7800,2,"Hatchback","Yaris","ca","2"
2013,19836,14100,47,"Sedan","Corolla","ca","2"
2013,38882,13500,38,"Sedan","Camry","ca","2"
2013,2575,22000,5,"Sedan","Camry","ca","3"
2013,32198,20500,28,"Double Cab","Tacoma","ca","3"
2013,36431,24200,37,"Suv","Fj Cruiser","ca","3"
2013,48744,9500,1,"Sedan","Corolla","ca","2"
2013,36159,19500,33,"Sedan","Avalon","ca","3"
2013,102345,18500,42,"Crewmax Cab","Tundra","ca","2"
2013,36465,27000,49,"Suv","Fj Cruiser","ca","3"
2013,82186,20250,45,"Crewmax Cab","Tundra","ca","3"
2013,57865,14800,4,"Hatchback","Prius","ca","2"
2013,37028,21000,31,"Sedan","Camry Hybrid","ca","3"
2013,50451,10500,28,"Sedan","Corolla","ca","2"
2013,39437,26500,42,"Suv","Fj Cruiser","ca","3"
2013,31326,18500,45,"Access Cab","Tacoma","ca","2"
2013,8649,13000,42,"Sedan","Corolla","ca","2"
2013,52002,25900,49,"Suv","4runner","ca","3"
2013,24592,34000,41,"Suv","Sequoia","ca","3"
2013,45805,16200,35,"Hatchback","Prius","ca","2"
2013,41829,17600,39,"Wagon","Venza","ca","2"
2013,18015,23700,5,"Double Cab","Tacoma","ca","3"
2013,35400,11700,38,"Sedan","Corolla","ca","2"
2013,36882,9900,38,"Hatchback","Yaris","ca","2"
2013,19377,12400,35,"Sedan","Corolla","ca","2"
2013,38288,17100,36,"Wagon","Venza","ca","2"
2013,68829,14600,43,"Hatchback","Prius","ca","2"
2013,38759,17500,4,"Wagon","Venza","ca","2"
2013,39900,28000,3,"Suv","Highlander","ca","3"
2013,34549,15500,1,"Sedan","Avalon","ca","2"
2013,39631,27000,41,"Double Cab","Tacoma","ca","3"
2013,63250,16600,34,"Minivan","Sienna","ca","2"
2013,13948,14900,44,"Sedan","Camry","ca","2"
2013,30392,15700,38,"Sedan","Camry","ca","2"
2013,56455,17750,44,"Sedan","Camry Hybrid","ca","2"
2013,32808,7300,1,"Hatchback","Yaris","ca","2"
2013,48376,11500,32,"Sedan","Corolla","ca","2"
2013,41961,11500,33,"Sedan","Corolla","ca","2"
2013,36744,26750,43,"Double Cab","Tacoma","ca","3"
2013,39968,15800,36,"Hatchback","Prius","ca","2"
2013,11094,21000,34,"Double Cab","Tacoma","ca","3"
2013,40052,20400,35,"Minivan","Sienna","ca","3"
2013,35516,8200,2,"Sedan","Corolla","ca","2"
2013,31300,11200,2,"Sedan","Camry","ca","2"
2012,48994,17000,35,"Sedan","Avalon","ca","2"
2012,59349,15600,43,"Sedan","Camry Hybrid","ca","2"
2012,52277,12900,28,"Sedan","Camry","ca","2"
2012,82708,12200,29,"Sedan","Camry","ca","2"
2012,28605,15200,28,"Sedan","Camry","ca","2"
2012,60316,8300,21,"Sedan","Corolla","ca","2"
2012,36550,16300,4,"Hatchback","Prius","ca","2"
2012,31180,21500,38,"Suv","Highlander","ca","3"
2012,61702,10100,34,"Sedan","Corolla","ca","2"
2012,31143,24000,28,"Suv","Highlander","ca","3"
2012,91015,19750,29,"Crewmax Cab","Tundra","ca","3"
2012,41155,14700,28,"Hatchback","Prius","ca","2"
2012,42726,9700,19,"Sedan","Corolla","ca","2"
2012,55703,8500,2,"Sedan","Corolla","ca","2"
2012,55665,10500,44,"Sedan","Corolla","ca","2"
2012,54649,17250,43,"Sedan","Camry Hybrid","ca","2"
2012,83985,26000,44,"Suv","Highlander Hybrid","ca","3"
2012,27262,18200,44,"Sedan","Camry","ca","2"
2012,34357,16600,28,"Minivan","Sienna","ca","2"
2012,35166,8200,19,"Suv","Rav4","ca","2"
2012,45514,21400,42,"Double Cab","Tundra","ca","3"
2012,46288,22200,37,"Hatchback","Prius Plug-In","ca","3"
2012,46204,10900,32,"Sedan","Corolla","ca","2"
2011,31994,13800,37,"Hatchback","Prius","ca","2"
2011,33452,11600,44,"Sedan","Corolla","ca","2"
2011,82074,12000,27,"Suv","Rav4","ca","2"
2011,291087,3600,1,"Sedan","Corolla","ca","1"
2011,42261,19750,35,"Minivan","Sienna","ca","3"
2011,44409,9250,19,"Sedan","Corolla","ca","2"
2011,19131,15600,45,"Sedan","Camry","ca","2"
2011,40794,10300,2,"Sedan","Camry","ca","2"
2011,69341,12400,37,"Hatchback","Prius","ca","2"
2011,45353,9250,2,"Sedan","Camry","ca","2"
2011,47905,13600,4,"Hatchback","Prius","ca","2"
2011,90054,7800,28,"Sedan","Corolla","ca","2"
2011,25227,16100,45,"Suv","Rav4","ca","2"
2011,92494,9500,2,"Sedan","Camry","ca","2"
2011,53157,8800,23,"Sedan","Corolla","ca","2"
2011,33529,15000,32,"Wagon","Venza","ca","2"
2011,27957,11000,26,"Sedan","Camry","ca","2"
2011,95309,8900,35,"Sedan","Camry","ca","2"
2011,30622,23500,34,"Double Cab","Tacoma","ca","3"
2011,55126,16500,43,"Suv","Rav4","ca","2"
2011,85516,17500,33,"Suv","Highlander","ca","2"
2011,93112,23250,4,"Suv","4runner","ca","3"
2011,81105,7500,25,"Sedan","Corolla","ca","2"
2011,45957,11100,19,"Sedan","Corolla","ca","2"
2011,44746,11000,28,"Sedan","Camry","ca","2"
2011,44968,45250,47,"Suv","Land Cruiser","ca","3"
2011,49997,10750,26,"Sedan","Camry","ca","2"
2011,37086,9250,28,"Sedan","Camry","ca","2"
2011,41859,15500,34,"Hatchback","Prius","ca","2"
2011,44257,23000,42,"Double Cab","Tacoma","ca","3"
2011,74871,12500,27,"Sedan","Avalon","ca","2"
2010,76648,13900,37,"Suv","Rav4","ca","2"
2010,67475,24500,3,"Suv","Sequoia","ca","3"
2010,105802,9000,26,"Sedan","Camry","ca","2"
2010,41304,10300,29,"Sedan","Corolla","ca","2"
2010,86735,18000,26,"Crewmax Cab","Tundra","ca","2"
2010,38491,11100,25,"Sedan","Corolla","ca","2"
2010,112920,11300,22,"Suv","Highlander","ca","2"
2010,39958,10500,36,"Sedan","Corolla","ca","2"
2010,91308,13400,39,"Suv","Highlander","ca","2"
2010,113815,10400,19,"Hatchback","Prius","ca","2"
2010,53075,10400,34,"Sedan","Corolla","ca","2"
2010,43285,11000,36,"Sedan","Corolla","ca","2"
2010,92671,9800,29,"Sedan","Camry","ca","2"
2010,88599,8000,19,"Sedan","Camry","ca","2"
2010,72930,4500,1,"Wagon","Venza","ca","2"
2010,116604,14600,27,"Crewmax Cab","Tundra","ca","2"
2009,193409,7800,21,"Suv","Rav4","ca","1"
2009,134995,7000,19,"Sedan","Camry","ca","1"
2009,79618,8200,31,"Sedan","Corolla","ca","2"
2009,105473,4400,2,"Sedan","Corolla","ca","1"
2009,67321,7250,24,"Sedan","Corolla","ca","2"
2009,152263,6300,32,"Sedan","Camry Hybrid","ca","1"
2009,134470,7000,2,"Sedan","Camry","ca","1"
2009,83334,9100,36,"Sedan","Corolla","ca","2"
2009,55475,7600,37,"Sedan","Corolla","ca","2"
2009,118067,9100,34,"Suv","Rav4","ca","1"
2009,173082,6250,27,"Sedan","Camry","ca","1"
2009,108512,6100,23,"Sedan","Corolla","ca","1"
2009,125068,5300,29,"Sedan","Corolla","ca","1"
2009,82294,11000,35,"Hatchback","Prius","ca","2"
2008,84146,8300,27,"Hatchback","Prius","ca","2"
